宠物ID,名称(自动),元素(自动),体型(自动),宠物定位(自动),阶段,敌方定位,HP,攻,防,盾,行动,机制ID,机制参数,面板分,机制分,克制,推荐日,备注,移动力,攻击次数
pal_028,药草兔,水,一格,治疗,前期,小怪,28,8,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_029,黄背牛,水,两格,坦克,后期,光环怪,42,6,0,6,3,mech_armor_flat,,105,56,,,,3,1
pal_030,花刺蛛,水,三格,坦克,前期,小怪,48,4,0,6,2,mech_armor_flat,,100,0,,,,2,1
pal_031,青背鲵,水,三格,治疗,前中期,成长怪,52,10,0,4,2,mech_shield_regen,,112,24,,,,2,2
pal_032,石甲鲮,雷,一格,机动,前中期,限伤怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_033,芭蕉熊,雷,两格,控制,前期,小怪,32,8,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_034,蜜纹獾,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_035,藤巢蜂,水,三格,控制,后期,小怪,62,18,0,0,4,mech_death_explosion,,136,0,,,,4,2
pal_036,云纹巨驼,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_037,月角白鹿,草,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_038,疾风苍鹰,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_039,银背巨兔,水,一格,机动,中期,小怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_040,炎角黑羊,水,两格,坦克,前中期,反击怪,66,18,0,14,3,mech_shield_regen,,205,24,,,,3,2
pal_041,回春彩蝶,水,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_042,赤焰蛮牛,雷,两格,输出,中期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,16,,,,3,1
pal_043,泥甲巨鲶,水,三格,控制,后期,小怪,62,18,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_044,夜羽巨鸦,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_045,墨鳞巨蜥,水,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_046,月镰螳螂,水,两格,控制,中后期,反击怪,32,8,0,0,4,mech_counter_damage,,76,24,,,,4,1
pal_047,裂空苍鹰,水,两格,机动,前期,小怪,28,6,0,0,5,none,,71,0,,,,5,1
pal_048,木刺豪猪,水,三格,召唤,中期,小怪,54,10,0,0,2,mech_grow_shield_each_round,,94,0,,,,2,2
pal_049,铁臂黑猿,水,一格,机动,前期,小怪,22,8,0,0,5,none,,71,0,,,,5,1
pal_050,金甲蜂群,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_051,百花巨蜂,暗,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_052,笑面山猫,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_053,霜尾雪貂,无,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_054,白眉雪猿,水,两格,控制,中期,小怪,44,14,0,0,4,mech_death_explosion,,106,0,,,,4,2
pal_055,寒风幼螭,火,一格,机动,中期,召唤怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_056,震角雷牛,无,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_057,吹雪银狐,冰,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_058,丹角火麟,冰,三格,控制,首领,精英,74,24,0,0,4,mech_counter_damage,,166,0,,,,4,3
pal_059,冰角白鹿,水,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_060,霹雳战獒,火,一格,输出,中期,小怪,34,22,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_061,苍焰赤豺,雷,一格,控制,前中期,成长怪,38,16,0,0,4,mech_counter_damage,,106,24,,,,4,2
pal_062,雷纹巨猿,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_063,蜃雾白鹿,草,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_064,翠冠花螭,雷,三格,机动,中期,小怪,46,10,0,0,5,none,,101,0,,,,5,2
pal_065,霆角龙犀,暗,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_066,浪鳞水蛇,地,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_067,沙鳞巨蟒,雷,一格,输出,前期,召唤怪,34,22,0,0,3,mech_grow_atk_each_round,,115,32,,,,3,2
pal_068,食梦黑貘,雷,一格,控制,中期,城堡怪,38,16,0,0,4,mech_counter_damage,,106,32,,,,4,2
pal_069,碎岩巨龟,龙,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_070,猫翼夜蝠,水,两格,治疗,前期,小怪,34,6,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_071,甘露壁虎,火,一格,输出,前期,小怪,22,14,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_072,赤巢火蚁,火,三格,控制,中期,光环怪,62,18,0,0,4,mech_fire_ignite_bonus,,136,32,,,,4,2
pal_073,烽翼火龙,龙,两格,经济,中后期,城堡怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_074,霜翼冥龙,火,一格,控制,前期,小怪,26,10,0,0,4,mech_fire_ignite_bonus,,76,0,,,,4,1
pal_075,赤刃螳螂,水,两格,机动,前期,小怪,28,6,0,0,5,none,,71,0,,,,5,1
pal_076,迅雷金雕,水,一格,坦克,中期,小怪,48,14,0,10,3,mech_armor_flat,,155,0,,,,3,2
pal_077,燧火黑乌,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_078,幽泉灵猫,水,一格,召唤,前期,小怪,30,8,0,0,3,mech_grow_shield_each_round,,69,0,,,,3,1
pal_079,焰尾山狐,雷,一格,坦克,中期,成长怪,48,14,0,10,3,mech_shield_regen,,155,24,,,,3,2
pal_080,踏春白兔,水,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_081,药香花鹿,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_082,冰丝巨蛾,龙,两格,经济,中期,小怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_083,云鳞幼螭,水,一格,坦克,前期,小怪,36,8,0,6,3,mech_shield_flat,,105,0,,,,3,1
pal_084,沧浪青蛟,火,一格,机动,前期,小怪,22,8,0,0,5,mech_fire_ignite_bonus,,71,0,,,,5,1
pal_085,涌泉水獭,雷,一格,召唤,前期,小怪,30,8,0,0,3,mech_grow_shield_each_round,,69,0,,,,3,1
pal_086,赤炎狻猊,龙,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_087,碧海青蛟,草,一格,机动,前期,小怪,22,8,0,0,5,none,,71,0,,,,5,1
pal_088,冰棘豪猪,雷,两格,输出,前期,护盾怪,52,28,0,0,3,mech_grow_atk_each_round,,151,16,,,,3,2
pal_089,狱火凶獒,火,一格,输出,中后期,精英怪,22,14,0,0,3,mech_fire_ignite_bonus,,79,48,,,,3,1
pal_090,三首火犬,水,三格,机动,终局,Boss,46,10,10,0,5,none,,131,0,,,,5,2
pal_091,覆水龙龟,雷,一格,输出,后期,肉盾,22,14,0,0,3,mech_grow_atk_each_round,,79,40,,,,3,1
pal_092,雷泽青蛟,火,两格,治疗,后期,小怪,58,18,0,6,3,mech_fire_ignite_bonus,,157,0,,,,3,2
pal_093,连理双鹿,草,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_094,海棠水鹿,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_095,百花灵鹿,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_096,熔岩巨兽,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_097,寒岩巨兽,雷,两格,输出,后期,限伤怪,28,12,0,0,3,mech_grow_atk_each_round,,79,40,,,,3,1
pal_098,云顶巨驼,水,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_099,冰峰巨驼,草,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_100,青林巨象,水,一格,坦克,前期,小怪,36,8,0,6,3,mech_shield_regen,,105,0,,,,3,1
pal_101,白牙雪象,水,三格,控制,后期,精英怪,50,12,0,0,4,mech_counter_damage,,106,48,,,,4,2
pal_102,白绒雪猿,暗,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_103,绿苔巨猿,水,一格,治疗,前期,小怪,28,8,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_104,铁甲巨兕,水,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_105,云海白鹿,水,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_106,夜幕巨蝠,草,两格,控制,后期,召唤怪,44,14,0,0,4,mech_counter_damage,,106,72,,,,4,2
pal_107,天羽云螭,水,三格,召唤,首领,精英,78,22,0,0,2,mech_grow_shield_each_round,,154,0,,,,2,3
pal_108,焰羽赤雕,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_109,冥羽黑乌,雷,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_110,渊鳞黑蛟,雷,两格,输出,后期,精英怪,28,12,6,0,3,mech_grow_atk_each_round,,97,56,,,,3,1
pal_111,毒甲蝎将,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_112,石猿战将,火,三格,控制,后期,小怪,62,18,0,0,4,mech_fire_ignite_bonus,,136,0,,,,4,2
pal_113,覆海蛟王,水,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_114,赤焰龙君,雷,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_115,南明朱雀,雷,两格,机动,前期,小怪,28,6,0,0,5,none,,71,0,,,,5,1
pal_116,净瓶青鸾,龙,三格,机动,中期,小怪,46,10,0,0,5,none,,101,0,,,,5,2
pal_117,九霄熊王,冰,三格,坦克,中期,小怪,60,10,0,10,2,mech_shield_flat,,150,0,,,,2,2
pal_118,百花鹿仙,水,两格,坦克,中期,小怪,54,12,0,10,3,mech_armor_flat,,155,0,,,,3,2
pal_119,黑月狐姬,水,一格,机动,中期,小怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_120,火云鹏王,水,两格,治疗,后期,小怪,58,18,0,6,3,mech_shield_regen,,157,0,,,,3,2
pal_121,雷泽龙王,暗,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_122,玄羽雕尊,水,三格,治疗,后期,小怪,64,16,0,6,2,mech_shield_regen,,152,0,,,,2,2
pal_123,白象护法,雷,一格,输出,后期,小怪,46,30,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_124,混世魔猿,雷,一格,输出,终局,Boss,22,14,6,0,3,mech_grow_atk_each_round,,97,104,,,,3,1
pal_125,寒狮妖王,水,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_126,幽冥獒王,水,三格,机动,后期,小怪,58,16,0,0,5,none,,131,0,,,,5,2
pal_127,九天龙君,火,三格,机动,中期,小怪,46,10,0,0,5,mech_fire_ignite_bonus,,101,0,,,,5,2
pal_128,星貂王,无,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_129,渊鹤王,水,三格,治疗,后期,小怪,64,16,0,6,2,mech_shield_regen,,152,0,,,,2,2
pal_130,潮甲君,水,两格,坦克,后期,小怪,66,18,0,14,3,mech_shield_flat,,205,0,,,,3,2
pal_131,碧蜂妖,水,一格,召唤,中期,小怪,42,14,0,0,3,mech_grow_shield_each_round,,99,0,,,,3,2
pal_132,烬隼童,火,两格,输出,前期,小怪,28,12,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_133,雷貉卫,雷,两格,经济,中期,小怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_134,沧雀卫,水,三格,机动,中期,小怪,46,10,0,0,5,none,,101,0,,,,5,2
pal_135,赤蝎精,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_136,沧熊童,水,两格,坦克,前期,小怪,42,6,0,6,3,mech_shield_regen,,105,0,,,,3,1
pal_137,雪貂童,冰,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_138,烬蜂童,火,一格,机动,前期,小怪,22,8,0,0,5,mech_fire_ignite_bonus,,71,0,,,,5,1
pal_139,雷鲭王,雷,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_140,冥雀卫,暗,两格,经济,中期,小怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_141,沧鸾仔,水,两格,治疗,前期,小怪,34,6,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_142,霆螳灵,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_143,山熊卫,地,两格,坦克,中期,小怪,54,12,0,10,3,mech_shield_regen,,155,0,,,,3,2
pal_144,沧燕侯,水,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_145,螭蜂妖,龙,两格,召唤,中期,小怪,48,12,0,0,3,mech_grow_shield_each_round,,99,0,,,,3,2
pal_146,沧鲤将,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_147,沙狮神,地,两格,输出,首领,精英,64,36,0,0,3,mech_grow_atk_each_round,,187,0,,,,3,3
pal_148,震狼君,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_149,渊鹿妖,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_150,汐蝶卫,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_151,电鹰君,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_152,鸣鳗王,雷,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_153,震狐卫,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_154,朱蛛将,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_155,沧鲤祖,水,两格,治疗,首领,精英,70,24,0,8,3,mech_shield_regen,,197,0,,,,3,3
pal_156,角马王,龙,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_157,焰鹰妖,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_158,澜蜂尊,水,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_159,凝鳗卫,冰,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_160,青鳗君,草,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_161,电鹰童,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_162,澜鲨童,水,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_163,石甲将,地,两格,坦克,中期,小怪,54,12,0,10,3,mech_armor_flat,,155,0,,,,3,2
pal_164,朱蛛侯,火,两格,控制,后期,小怪,56,20,0,0,4,mech_fire_ignite_bonus,,136,0,,,,4,2
pal_165,渊猿王,水,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_166,焰蚌圣,火,两格,治疗,首领,精英,70,24,0,8,3,mech_fire_ignite_bonus,,197,0,,,,3,3
pal_167,渊兔妖,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_168,澜兔祖,水,两格,治疗,首领,精英,70,24,0,8,3,mech_shield_regen,,197,0,,,,3,3
pal_169,朱鹤将,火,两格,治疗,中期,小怪,46,12,0,4,3,mech_fire_ignite_bonus,,117,0,,,,3,2
pal_170,青蝎卫,草,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_171,赤狼童,火,两格,输出,前期,小怪,28,12,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_172,森蟒仔,草,两格,控制,前期,小怪,32,8,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_173,燎鹰兽,火,两格,输出,前期,小怪,28,12,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_174,焰狼将,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_175,电豹尊,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_176,电螳精,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_177,霆狼卫,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_178,闪鲲妖,雷,两格,召唤,中期,小怪,48,12,0,0,3,mech_grow_shield_each_round,,99,0,,,,3,2
pal_179,震鹰王,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_180,鸣马王,雷,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_181,碧兔神,水,两格,治疗,首领,精英,70,24,0,8,3,mech_shield_regen,,197,0,,,,3,3
pal_182,渊蚁皇,水,两格,召唤,首领,精英,72,24,0,0,3,mech_grow_shield_each_round,,159,0,,,,3,3
pal_183,垒牦灵,地,两格,坦克,前期,小怪,42,6,0,6,3,mech_shield_regen,,105,0,,,,3,1
pal_184,雷鹰将,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_185,烬鳗将,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_186,角豹神,龙,两格,输出,首领,精英,64,36,0,0,3,mech_grow_atk_each_round,,187,0,,,,3,3
pal_187,雷鹰卫,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_188,岩獒精,地,两格,坦克,中期,小怪,54,12,0,10,3,mech_shield_flat,,155,0,,,,3,2
pal_189,烬鹿祖,火,两格,治疗,首领,精英,70,24,0,8,3,mech_fire_ignite_bonus,,197,0,,,,3,3
pal_190,潮鹤精,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_191,焰豹将,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_192,赤鼋妖,火,两格,坦克,中期,小怪,54,12,0,10,3,mech_fire_ignite_bonus,,155,0,,,,3,2
pal_193,雷狼卫,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_194,电虎侯,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_195,燎狼将,火,两格,输出,中期,小怪,40,20,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_196,凛鳗王,冰,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_197,寒狐祖,冰,两格,控制,首领,精英,68,26,0,0,4,mech_counter_damage,,166,0,,,,4,3
pal_198,赤虎仔,火,两格,输出,前期,小怪,28,12,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_199,藤貂仔,草,两格,控制,前期,小怪,32,8,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_200,烬豹侯,火,两格,输出,后期,小怪,52,28,0,0,3,mech_fire_ignite_bonus,,151,0,,,,3,2
pal_201,潮鸾卫,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_202,苔狐侯,草,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_203,霆熊卫,雷,两格,坦克,中期,小怪,54,12,0,10,3,mech_armor_flat,,155,0,,,,3,2
pal_204,闪鲨将,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_205,雷隼卫,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_206,霜狐卫,冰,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_207,森蛇童,草,两格,控制,前期,小怪,32,8,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_208,冰蛙将,冰,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_209,夜貉精,暗,两格,经济,中期,小怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_210,震豹童,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_211,夜雀皇,暗,两格,机动,首领,精英,64,24,0,0,5,none,,161,0,,,,5,3
pal_212,沧鹤妖,水,两格,治疗,中期,小怪,46,12,0,4,3,mech_shield_regen,,117,0,,,,3,2
pal_213,震鹰童,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_214,角鲨兽,龙,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_215,角隼尊,龙,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_216,霆鲭将,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_217,震雀将,雷,两格,经济,中期,小怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_218,赤鹤皇,火,两格,治疗,首领,精英,70,24,0,8,3,mech_fire_ignite_bonus,,197,0,,,,3,3
pal_219,霆狼妖,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_220,碧雀君,水,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_221,霆虎神,雷,两格,输出,首领,精英,64,36,0,0,3,mech_grow_atk_each_round,,187,0,,,,3,3
pal_222,雷猿王,雷,两格,机动,后期,小怪,52,18,0,0,5,none,,131,0,,,,5,2
pal_223,燎蚌皇,火,两格,治疗,首领,精英,70,24,0,8,3,mech_fire_ignite_bonus,,197,0,,,,3,3
pal_224,夜蝎卫,暗,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_225,星隼精,无,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_226,潮雀妖,水,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_227,蛟蛙侯,龙,两格,控制,后期,小怪,56,20,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_228,凛蝎卫,冰,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_229,闪狼侯,雷,两格,输出,后期,小怪,52,28,0,0,3,mech_grow_atk_each_round,,151,0,,,,3,2
pal_230,震隼灵,雷,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_231,苔蛛将,草,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
